genome_name,chr_id,chr_type,chr_size_bp,centromere_start,centromere_end
Genome_1,chr1,chromosome,212924458,34117340,37922753
Genome_1,chr9,chromosome,114143118,58646601,60418437
Genome_1,chr8,chromosome,186031559,71212089,74296487
Genome_1,chr22,chromosome,38271159,18456808,22835998
Genome_1,chr5,chromosome,183807588,71597265,76591944
Genome_1,chr4,chromosome,173865993,103670322,107784062
Genome_1,chr18,chromosome,63057225,27576085,31187223
Genome_1,chr3,chromosome,232819871,112489777,116099595
Genome_1,chr14,chromosome,79686211,17859064,21202464
Genome_2,chr1,chromosome,267373938,81179578,86201019
Genome_2,chr3,chromosome,150158532,85641596,90743875
Genome_2,chr7,chromosome,137807667,25000412,29492062
Genome_2,chr8,chromosome,142719023,57693509,63571877
Genome_2,chr17,chromosome,94333820,23888345,26285766
Genome_2,chrY,chromosome,57014377,500000,1000000
Genome_2,chr18,chromosome,77447850,36654934,40505704
Genome_2,chr22,chromosome,36531237,5011626,9768041
Genome_3,chr8,chromosome,162164798,82115995,86448863
Genome_3,chr15,chromosome,86649198,49535969,52249444
Genome_3,chr19,chromosome,74193028,20199754,24658788
Genome_3,chr9,chromosome,154569040,60893846,65451059
Genome_3,chr1,chromosome,268883455,130272570,133348127
Genome_3,chr6,chromosome,166351485,47873512,51382533
Genome_3,chr14,chromosome,109570521,15360567,20294544
Genome_3,chr11,chromosome,104456105,47904874,52187466
Genome_3,chr21,chromosome,39085096,12180295,15915295
Genome_3,chr3,chromosome,236132108,500000,1000000
Genome_3,chr4,chromosome,146830271,59000468,61884718
Genome_3,chr13,chromosome,102232761,64705965,67702141
Genome_3,chr22,chromosome,37551562,14126397,15665750
Genome_3,chr2,chromosome,309394574,107427173,109344053
