genome_name,chr_id,chr_type,chr_size_bp
Genome_1,chr1,chromosome,248956422
Genome_1,chr2,chromosome,242193529
Genome_1,chrX,chromosome,156040895
Genome_2,chr1,chromosome,224244399
Genome_2,chr2,chromosome,182055439
Genome_3,chrA,chromosome,123456789
Genome_3,chrB,chromosome,98765432
Genome_4,chr1,chromosome,195471971
Genome_4,chr2,chromosome,150789456
Genome_5,chr5,chromosome,75682077
Genome_5,chr7,chromosome,80974532
Genome_6,chr1,chromosome,30427671
Genome_6,chr2,chromosome,19698289
Genome_7,chrI,chromosome,230218
Genome_7,chrII,chromosome,813184
Genome_8,chr1,chromosome,23513712
Genome_8,chr2,chromosome,25286936
